Pathways	Reaction-List	Common-Name	Names	Regulated-By	Primary-Products	Primary-Reactants	Object ID	Super-Pathways	Ontology -  all instances of class	Ontology - all subclasses of class	Ontology - direct instances of class	Ontology - direct parents of entity	Ontology - direct subclasses of class	Ontology - pathway type	Final_pathway	Compounds of pathway	Reactants of pathway	Reactions of pathway
PWY-5209	FORMYLMETHANOFURAN-DEHYDROGENASE-RXN // FTRMBARK-RXN // MCHMBARK-RXN // MTDMBARK-RXN // MERMBARK-RXN // MTRMBARK-RXN	methyl-coenzyme M oxidation to CO<sub>2</sub>	methyl-coenzyme M oxidation to CO<sub>2</sub>				PWY-5209					METHANOGENESIS		Energy-Metabolism	Energy-Metabolism	CoM // Me-CoM // CPD-9 // Reduced-Factor-F420 // CPD-10 // Oxidized-Factor-F420 // CPD-11 // CPD-8 // CPD-22 // PROTON // CARBON-DIOXIDE // Methanofurans // Reduced-ferredoxins // Oxidized-ferredoxins // Formyl-methanofurans // WATER	Oxidized-ferredoxins // WATER // Oxidized-Factor-F420 // Me-CoM	FORMYLMETHANOFURAN-DEHYDROGENASE-RXN // FTRMBARK-RXN // MCHMBARK-RXN // MTDMBARK-RXN // MERMBARK-RXN // MTRMBARK-RXN
PWY-6938-1	RXN0-6727 // RXN-12754 // RXN-12752 // RXN-12753	NADH repair (prokaryotes)	NADH repair (prokaryotes)				PWY-6938-1					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	CPD0-2472 // WATER // Pi // AMP // NADH // PROTON // CPD-653 // ADP	ADP // WATER	RXN0-6727 // RXN-12754 // RXN-12752 // RXN-12753
PWY-7980	ATPSYN-RXN	ATP biosynthesis	ATP biosynthesis		ATP	ADP	PWY-7980					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	PROTON // Pi // ADP // ATP // WATER	ADP // Pi	ATPSYN-RXN
PWY0-1517	SEDOBISALDOL-RXN // RXN0-6541	sedoheptulose bisphosphate bypass	sedoheptulose bisphosphate bypass				PWY0-1517					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	PROTON // ADP // D-SEDOHEPTULOSE-7-P // ATP // ERYTHROSE-4P // DIHYDROXY-ACETONE-PHOSPHATE // D-SEDOHEPTULOSE-1-7-P2	D-SEDOHEPTULOSE-7-P // ATP	SEDOBISALDOL-RXN // RXN0-6541
PWY-6728	RXN-14937 // MALYL-COA-LYASE-RXN // RXN-14971 // MALATE-DEH-RXN // ISOCITDEH-RXN // FUMHYDR-RXN // SUCCCOASYN-RXN // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // RXN-8960 // RXN-8961 // PROPIONYL-COA-CARBOXY-RXN // RXN-12168 // METHYLASPARTATE-AMMONIA-LYASE-RXN // METHYLASPARTATE-MUTASE-RXN // GLUTAMATE-DEHYDROGENASE-RXN // ACONITATEHYDR-RXN // CITSYN-RXN // ACONITATEDEHYDR-RXN	methylaspartate cycle	methylaspartate cycle				PWY-6728					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	OXALO-SUCCINATE // E- // CIT // CIS-ACONITATE // GLT // AMMONIUM // L-THREO-3-METHYL-ASPARTATE // MESACONATE // HCO3 // PROPIONYL-COA // CPD-9408 // CPD-9409 // D-METHYL-MALONYL-COA // METHYL-MALONYL-COA // Pi // ADP // SUC-COA // ATP // NADPH // CARBON-DIOXIDE // 2-KETOGLUTARATE // THREO-DS-ISO-CITRATE // NADP // NADH // OXALACETIC_ACID // NAD // FUM // ETR-Quinols // ETR-Quinones // SUC // ACETYL-COA // GLYOX // PROTON // CO-A // MAL // CPD-208 // WATER	ACETYL-COA // ETR-Quinones // NADP // HCO3	RXN-14937 // MALYL-COA-LYASE-RXN // RXN-14971 // MALATE-DEH-RXN // ISOCITDEH-RXN // FUMHYDR-RXN // SUCCCOASYN-RXN // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // RXN-8960 // RXN-8961 // PROPIONYL-COA-CARBOXY-RXN // RXN-12168 // METHYLASPARTATE-AMMONIA-LYASE-RXN // METHYLASPARTATE-MUTASE-RXN // GLUTAMATE-DEHYDROGENASE-RXN // ACONITATEHYDR-RXN // CITSYN-RXN // ACONITATEDEHYDR-RXN
PWY-6938	RXN-12754 // RXN-12752 // RXN-12753 // 4.2.1.93-RXN	NADH repair (eukaryotes)	NADH repair (eukaryotes)				PWY-6938					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	ADP // Pi // PROTON // ATP // CPD-653 // CPD0-2472 // NADH // WATER	WATER // ATP	RXN-12754 // RXN-12752 // RXN-12753 // 4.2.1.93-RXN
GLYOXYLATE-BYPASS	MALATE-DEH-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCIT-CLEAV-RXN // MALSYN-RXN	glyoxylate cycle	glyoxylate cycle // glyoxylate bypass // glyoxylate shunt				GLYOXYLATE-BYPASS	TCA-GLYOX-BYPASS // PWY-561				Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	SUC // GLYOX // THREO-DS-ISO-CITRATE // CO-A // ACETYL-COA // WATER // CIS-ACONITATE // CIT // PROTON // NADH // OXALACETIC_ACID // MAL // NAD	NAD // ACETYL-COA	MALATE-DEH-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCIT-CLEAV-RXN // MALSYN-RXN
PWY-8137	RXN-13139 // RXN-20456 // RXN-20457 // RXN-13142	NADPH repair (eukaryotes)	NADPH repair (eukaryotes)				PWY-8137					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	CPD-14133 // WATER // PROTON // Pi // ADP // NADPH // ATP // CPD0-2474	ATP // WATER	RXN-13139 // RXN-20456 // RXN-20457 // RXN-13142
PWY-5741	RXN-16391 // MALATE--COA-LIGASE-RXN // MALYL-COA-LYASE-RXN // 3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN // RXN-5901 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-8961 // RXN-8960 // RXN-8959 // RXN-8958 // RXN-8957	ethylmalonyl-CoA pathway	ethylmalonyl-CoA pathway // ethylmalonyl pathway				PWY-5741					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	PROT-CYS // Protein-S-Acetyl-Cysteines // CARBON-DIOXIDE // ETF-Reduced // CPD-9407 // ETF-Oxidized // CPD-9408 // PROPIONYL-COA // CPD-9409 // PROTON // NADPH // ACETOACETYL-COA // NADP // WATER // CROTONYL-COA // CPD-650 // ACETYL-COA // GLYOX // ADP // CPD-208 // Pi // MAL // CO-A // ATP // CPD-17635 // CPD-9406	Pi // ADP // ACETYL-COA // NADPH // PROTON // ETF-Oxidized // CARBON-DIOXIDE	RXN-16391 // MALATE--COA-LIGASE-RXN // MALYL-COA-LYASE-RXN // 3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN // RXN-5901 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-8961 // RXN-8960 // RXN-8959 // RXN-8958 // RXN-8957
PWY-6876	ISOPROPANOL-DEHYDROGENASE-NADP+-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ACETOACETYL-COA-HYDROLASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUFLAVREDUCT-RXN	isopropanol biosynthesis (engineered)	isopropanol biosynthesis (engineered)				PWY-6876					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	PROT-CYS // Protein-S-Acetyl-Cysteines // Reduced-ferredoxins // PYRUVATE // Oxidized-ferredoxins // ACETYL-COA // CO-A // WATER // ACETOACETYL-COA // CARBON-DIOXIDE // 3-KETOBUTYRATE // PROTON // NADPH // ACETONE // ISO-PROPANOL // NADP	NADPH // WATER // PYRUVATE // Oxidized-ferredoxins	ISOPROPANOL-DEHYDROGENASE-NADP+-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ACETOACETYL-COA-HYDROLASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUFLAVREDUCT-RXN
PWY-7007	RXN-11026 // RXN-13248 // RXN-13247 // OHACYL-COA-DEHYDROG-RXN // ENOYL-COA-HYDRAT-RXN // BUTYRATE--COA-LIGASE-RXN	methyl ketone biosynthesis (engineered)	methyl ketone biosynthesis (engineered)				PWY-7007					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	PPI // AMP // ACYL-COA // Fatty-Acids // ATP // NADH // L-3-HYDROXYACYL-COA // NAD // CO-A // 3-KETOACYL-COA // WATER // CARBON-DIOXIDE // Methylketones // CPD-12642 // PROTON // HYDROGEN-PEROXIDE // TRANS-D2-ENOYL-COA // Saturated-Fatty-Acyl-CoA // OXYGEN-MOLECULE	Saturated-Fatty-Acyl-CoA // OXYGEN-MOLECULE // WATER // NAD // Fatty-Acids // ATP	RXN-11026 // RXN-13248 // RXN-13247 // OHACYL-COA-DEHYDROG-RXN // ENOYL-COA-HYDRAT-RXN // BUTYRATE--COA-LIGASE-RXN
PWY-5197	LACTALDDEHYDROG-RXN // RXN-10054 // FUCPALDOL-RXN // RXN-10064 // RXN-8075	lactate biosynthesis (archaea)	lactate biosynthesis (archaea)				PWY-5197					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	Pi // GAP // Reduced-Factor-F420 // Oxidized-Factor-F420 // DIHYDROXY-ACETONE-PHOSPHATE // FUCULOSE-1P // METHYL-GLYOXAL // CPD-10807 // PROTON // NADH // L-LACTATE // LACTALD // NAD // WATER	NAD // WATER // FUCULOSE-1P // Reduced-Factor-F420 // GAP	LACTALDDEHYDROG-RXN // RXN-10054 // FUCPALDOL-RXN // RXN-10064 // RXN-8075
PWY-8136	RXN-20456 // RXN-20457 // RXN-13142 // RXN-13141	NADPH repair (prokaryotes)	NADPH repair (prokaryotes)				PWY-8136					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	PROTON // Pi // AMP // ADP // CPD0-2474 // CPD-14133 // NADPH // WATER	WATER // ADP	RXN-20456 // RXN-20457 // RXN-13142 // RXN-13141
PWY-5723	3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // PHOSPHORIBULOKINASE-RXN // RIBULP3EPIM-RXN // RIB5PISOM-RXN // TRANSALDOL-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	Rubisco shunt	Rubisco shunt				PWY-5723					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	CARBON-DIOXIDE // ERYTHROSE-4P // FRUCTOSE-6P // D-SEDOHEPTULOSE-7-P // GAP // RIBOSE-5P // XYLULOSE-5-PHOSPHATE // D-RIBULOSE-15-P2 // RIBULOSE-5P // ADP // PROTON // PYRUVATE // ATP // WATER // PHOSPHO-ENOL-PYRUVATE // G3P // 2-PG	FRUCTOSE-6P // CARBON-DIOXIDE	3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // PHOSPHORIBULOKINASE-RXN // RIBULP3EPIM-RXN // RIB5PISOM-RXN // TRANSALDOL-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN
PWY-6873	RXN-7904 // RXN-12639 // RXN-11039 // RXN-6161	long chain fatty acid ester synthesis (engineered)	long chain fatty acid ester synthesis (engineered)				PWY-6873					Energy-Metabolism		Energy-Metabolism	Energy-Metabolism	CARBON-DIOXIDE // PYRUVATE // PROTON // Ubiquinols // ACETALD // Ubiquinones // Long-Chain-Acyl-Ethyl-Esters // ETOH // AMP // PPI // Long-Chain-Acyl-CoAs // Long-Chain-Fatty-Acids // CO-A // ATP	Long-Chain-Fatty-Acids // ATP // Ubiquinols // PYRUVATE // PROTON	RXN-7904 // RXN-12639 // RXN-11039 // RXN-6161
PWY-5084	RXN-7716 // RXN0-1147 // 2OXOGLUTDECARB-RXN	2-oxoglutarate decarboxylation to succinyl-CoA	2-oxoglutarate decarboxylation to succinyl-CoA // 2-oxoglutarate dehydrogenase complex // 2-ketoglutarate dehydrogenase complex // 2-oxoglutarate dehydrogenase system // 2-ketoglutarate dehydrogenase system // &alpha;-ketoglutarate dehydrogenase system				PWY-5084					Respiration		Energy-Metabolism	Energy-Metabolism	CARBON-DIOXIDE // 2-KETOGLUTARATE // Oxo-glutarate-dehydro-suc-DH-lipoyl // CO-A // SUC-COA // PROTON // NADH // Oxo-glutarate-dehydrogenase-lipoyl // Oxo-glutarate-dehydrogenase-DH-lipoyl // NAD	NAD // CO-A // 2-KETOGLUTARATE	RXN-7716 // RXN0-1147 // 2OXOGLUTDECARB-RXN
PWY-5046	RXN-7719 // 2.3.1.168-RXN // 1.2.4.4-RXN	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	2-oxoisovalerate decarboxylation to isobutanoyl-CoA // branched-chain &alpha;-keto acid dehydrogenase system // branched-chain &alpha;-keto acid dehydrogenase complex // branched-chain 2-oxo acid dehydrogenase complex // branched-chain 2-oxo acid dehydrogenase system				PWY-5046					Respiration		Energy-Metabolism	Energy-Metabolism	CARBON-DIOXIDE // 2-KETO-ISOVALERATE // CO-A // BCAA-dehydrogenase-2MP-DH-lipoyl // ISOBUTYRYL-COA // PROTON // NADH // BCAA-dehydrogenase-lipoyl // BCAA-dehydrogenase-DH-lipoyl // NAD	NAD // CO-A // 2-KETO-ISOVALERATE	RXN-7719 // 2.3.1.168-RXN // 1.2.4.4-RXN
PWY66-367	ACETOACETATE-DECARBOXYLASE-RXN // 3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN // HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN	ketogenesis	ketogenesis // acetoacetate biosynthesis // ketone body synthesis				PWY66-367					OTHER-ENERGY		Energy-Metabolism	Energy-Metabolism	PROT-CYS // Protein-S-Acetyl-Cysteines // CO-A // ACETOACETYL-COA // WATER // ACETYL-COA // 3-HYDROXY-3-METHYL-GLUTARYL-COA // NADH // CPD-335 // NAD // CARBON-DIOXIDE // ACETONE // 3-KETOBUTYRATE // PROTON	NADH // WATER	ACETOACETATE-DECARBOXYLASE-RXN // 3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN // HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
MALATE-ASPARTATE-SHUTTLE-PWY	MALATE-DEH-RXN // ASPAMINOTRANS-RXN	malate/L-aspartate shuttle pathway	malate/L-aspartate shuttle pathway				MALATE-ASPARTATE-SHUTTLE-PWY					OTHER-ENERGY		Energy-Metabolism	Energy-Metabolism	GLT // L-ASPARTATE // 2-KETOGLUTARATE // PROTON // NADH // OXALACETIC_ACID // MAL // NAD	NADH // PROTON // L-ASPARTATE // 2-KETOGLUTARATE	MALATE-DEH-RXN // ASPAMINOTRANS-RXN
PWY-6118	RXN-15745 // 1.1.1.8-RXN	glycerol-3-phosphate shuttle	glycerol-3-phosphate shuttle // G3P shuttle // glycerol-3-P shuttle				PWY-6118					OTHER-ENERGY		Energy-Metabolism	Energy-Metabolism	E- // PROTON // NADH // NAD // DIHYDROXY-ACETONE-PHOSPHATE // ETR-Quinols // ETR-Quinones // GLYCEROL-3P	ETR-Quinones // NADH // PROTON	RXN-15745 // 1.1.1.8-RXN
PWY-7383	RXN-12481 // 4.1.1.32-RXN // MALATE-DEH-RXN // ASPAMINOTRANS-RXN // ALARACECAT-RXN // ALANINE-AMINOTRANSFERASE-RXN // PEPDEPHOS-RXN	"anaerobic energy metabolism (invertebrates, cytosol)"	"anaerobic energy metabolism (invertebrates, cytosol)"				PWY-7383	PWY-7389				Fermentation		Energy-Metabolism	Energy-Metabolism	ADP // ATP // PYRUVATE // D-ALANINE // L-ALPHA-ALANINE // GLT // L-ASPARTATE // 2-KETOGLUTARATE // PROTON // NADH // MAL // NAD // GDP // GTP // IDP // PHOSPHO-ENOL-PYRUVATE // CARBON-DIOXIDE // OXALACETIC_ACID // ITP	CARBON-DIOXIDE // PHOSPHO-ENOL-PYRUVATE // IDP // GDP // NADH // PROTON // L-ASPARTATE // ADP	RXN-12481 // 4.1.1.32-RXN // MALATE-DEH-RXN // ASPAMINOTRANS-RXN // ALARACECAT-RXN // ALANINE-AMINOTRANSFERASE-RXN // PEPDEPHOS-RXN
PWY-6863	RXN-12567 // RXN-11667 // RXN-12558 // HEXANOL-RXN // RXN-12568 // RXN-12559 // RXN-12570 // RXN-12565 // PYRUFLAVREDUCT-RXN // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN	pyruvate fermentation to hexanol (engineered)	pyruvate fermentation to hexanol (engineered) // pyruvic acid fermentation to hexanol (engineered)				PWY-6863					Alcohol-Biosynthesis // Pyruvate-Degradation		Energy-Metabolism	Energy-Metabolism	PROT-CYS // Protein-S-Acetyl-Cysteines // ACETOACETYL-COA // Reduced-ferredoxins // CARBON-DIOXIDE // PYRUVATE // Oxidized-ferredoxins // ACETYL-COA // K-HEXANOYL-COA // NADH-P-OR-NOP // HEXANOYL-COA // CO-A // NAD-P-OR-NOP // HEXANAL // HEXANOL-CMPD // PROTON // NADH // BUTYRYL-COA // NAD // CROTONYL-COA // S-3-HYDROXYBUTANOYL-COA // WATER // CPD0-2121 // OH-HEXANOYL-COA	NADH // NADH-P-OR-NOP // PYRUVATE // Oxidized-ferredoxins	RXN-12567 // RXN-11667 // RXN-12558 // HEXANOL-RXN // RXN-12568 // RXN-12559 // RXN-12570 // RXN-12565 // PYRUFLAVREDUCT-RXN // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-6588	ACETOACETYL-COA-TRANSFER-RXN // 2.8.3.9-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUFLAVREDUCT-RXN	pyruvate fermentation to acetone	pyruvate fermentation to acetone // acetone fermentation // pyruvic acid fermentation to acetone				PWY-6588	PWY-6594				Pyruvate-Degradation		Energy-Metabolism	Energy-Metabolism	PROT-CYS // Protein-S-Acetyl-Cysteines // Reduced-ferredoxins // PYRUVATE // Oxidized-ferredoxins // CO-A // CARBON-DIOXIDE // ACETONE // PROTON // BUTYRIC_ACID // BUTYRYL-COA // ACETOACETYL-COA // ACET // ACETYL-COA // 3-KETOBUTYRATE	ACET // BUTYRIC_ACID // PYRUVATE // Oxidized-ferredoxins	ACETOACETYL-COA-TRANSFER-RXN // 2.8.3.9-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUFLAVREDUCT-RXN
PWY-7351	BETA-ALANOPINE-DEHYDROGENASE-RXN // TAUROPINE-DEHYDROGENASE-RXN // STROMBINE-DEHYDROGENASE-RXN // ALANOPINE-DEHYDROGENASE-RXN // 1.5.1.11-RXN	pyruvate fermentation to opines	pyruvate fermentation to opines // pyruvic acid fermentation to opines				PWY-7351					Pyruvate-Degradation		Energy-Metabolism	Energy-Metabolism	ARG // CPD-309 // L-ALPHA-ALANINE // CPD-310 // GLY // CPD-312 // TAURINE // CPD-305 // PROTON // B-ALANINE // PYRUVATE // NADH // WATER // NAD // CPD-311	NADH // PYRUVATE // B-ALANINE // PROTON // TAURINE // GLY // L-ALPHA-ALANINE // ARG	BETA-ALANOPINE-DEHYDROGENASE-RXN // TAUROPINE-DEHYDROGENASE-RXN // STROMBINE-DEHYDROGENASE-RXN // ALANOPINE-DEHYDROGENASE-RXN // 1.5.1.11-RXN
CENTFERM-PWY	RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // BUTYRATE-KINASE-RXN // PHOSPHATE-BUTYRYLTRANSFERASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN	pyruvate fermentation to butanoate	pyruvate fermentation to butanoate // central fermentation pathway // acetobutylicum fermentation // pyruvate fermentation to butyrate // pyruvic acid fermentation to butanoic acid				CENTFERM-PWY	GLUDEG-II-PWY // PWY-6590				Acetyl-CoA-Butyrate // Pyruvate-Degradation		Energy-Metabolism	Energy-Metabolism	PROT-CYS // Protein-S-Acetyl-Cysteines // Pi // ADP // BUTYRYL-P // BUTYRIC_ACID // ATP // ACETOACETYL-COA // PROTON // CARBON-DIOXIDE // ACETYL-COA // PYRUVATE // CO-A // WATER // S-3-HYDROXYBUTANOYL-COA // Oxidized-ferredoxins // NADH // CROTONYL-COA // BUTYRYL-COA // NAD // Reduced-ferredoxins	NADH // Oxidized-ferredoxins // PYRUVATE // ADP // Pi	RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // BUTYRATE-KINASE-RXN // PHOSPHATE-BUTYRYLTRANSFERASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7111	RXN-7657 // RXN-7643 // DIHYDROXYISOVALDEHYDRAT-RXN // ACETOLACTREDUCTOISOM-RXN // ACETOLACTSYN-RXN	pyruvate fermentation to isobutanol (engineered)	pyruvate fermentation to isobutanol (engineered) // isobutanol biosynthesis // pyruvic acid fermentation to isobutanol (engineered)				PWY-7111					Alcohol-Biosynthesis // Pyruvate-Degradation		Energy-Metabolism	Energy-Metabolism	PYRUVATE // NADPH // 2-ACETO-LACTATE // NADP // WATER // CPD-13357 // CARBON-DIOXIDE // 2-KETO-ISOVALERATE // NADH // CPD-7000 // PROTON // ISOBUTANOL // NAD	PROTON // NADH // NADPH // PYRUVATE	RXN-7657 // RXN-7643 // DIHYDROXYISOVALDEHYDRAT-RXN // ACETOLACTREDUCTOISOM-RXN // ACETOLACTSYN-RXN
FERMENTATION-PWY	MALATE-DEH-RXN // ISOCITDEH-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // R601-RXN // FHLMULTI-RXN // PEPCARBOX-RXN // FUMHYDR-RXN // DLACTDEHYDROGNAD-RXN // PEPDEPHOS-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // PYRUVFORMLY-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN	mixed acid fermentation	mixed acid fermentation // fermentation				FERMENTATION-PWY					Fermentation-to-Acids // Pyruvate-Ethanol-Fermentation		Energy-Metabolism	Energy-Metabolism	Oxidized-ferredoxins // Reduced-ferredoxins // E- // OXALO-SUCCINATE // ACETYL-P // ACET // ACETALD // ETOH // ADP // ATP // PYRUVATE // D-LACTATE // HCO3 // PHOSPHO-ENOL-PYRUVATE // Pi // HYDROGEN-MOLECULE // FORMATE // SUC // Menaquinones // Menaquinols // FUM // CO-A // ACETYL-COA // CIT // CIS-ACONITATE // WATER // NADPH // CARBON-DIOXIDE // 2-KETOGLUTARATE // THREO-DS-ISO-CITRATE // NADP // PROTON // NADH // OXALACETIC_ACID // MAL // NAD	NADH // NADP // Menaquinols // PHOSPHO-ENOL-PYRUVATE // HCO3 // ADP	MALATE-DEH-RXN // ISOCITDEH-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // R601-RXN // FHLMULTI-RXN // PEPCARBOX-RXN // FUMHYDR-RXN // DLACTDEHYDROGNAD-RXN // PEPDEPHOS-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // PYRUVFORMLY-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN
PWY-5109	RXN-15031 // 2-METHYLACYL-COA-DEHYDROGENASE-RXN // PROPIONATE-COA-TRANSFERASE-RXN // TIGLYLCOA-HYDROXY-RXN // 1.1.1.178-RXN // METHYLACETOACETYLCOATHIOL-RXN	propanoate fermentation to 2-methylbutanoate	propanoate fermentation to 2-methylbutanoate // propanoate fermentation to 2-methylbutyrate // propionate fermentation to 2-methylbutanoate // propionate fermentation to 2-methylbutyrate				PWY-5109					Fermentation-to-Acids		Energy-Metabolism	Energy-Metabolism	2-METHYL-ACETO-ACETYL-COA // NADH // NAD // 2-METHYL-3-HYDROXY-BUTYRYL-COA // PROPIONYL-COA // ACET // ACETYL-COA // PROPIONATE // ETF-Reduced // CPD-1083 // ETF-Oxidized // PROTON // CO-A // CPD-7076 // 2-METHYL-BUTYRYL-COA // WATER	ETF-Reduced // ACETYL-COA // PROPIONATE // NADH	RXN-15031 // 2-METHYLACYL-COA-DEHYDROGENASE-RXN // PROPIONATE-COA-TRANSFERASE-RXN // TIGLYLCOA-HYDROXY-RXN // 1.1.1.178-RXN // METHYLACETOACETYLCOATHIOL-RXN
PWY-6970	PYRUVATE-DEHYDROGENASE-NADP+-RXN	pyruvate decarboxylation to acetyl CoA II	pyruvate decarboxylation to acetyl CoA II // acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)				PWY-6970					Acetyl-CoA-Biosynthesis		Energy-Metabolism	Energy-Metabolism	NADPH // CARBON-DIOXIDE // ACETYL-COA // PYRUVATE // CO-A // NADP	PYRUVATE // CO-A // NADP	PYRUVATE-DEHYDROGENASE-NADP+-RXN
PWY-5172	ATP-CITRATE-PRO-S--LYASE-RXN	acetyl-CoA biosynthesis from citrate	acetyl-CoA biosynthesis from citrate				PWY-5172					Acetyl-CoA-Biosynthesis		Energy-Metabolism	Energy-Metabolism	ATP // CO-A // CIT // OXALACETIC_ACID // ACETYL-COA // Pi // ADP	CIT // CO-A // ATP	ATP-CITRATE-PRO-S--LYASE-RXN
PWY66-368	ACETYL-COA-ACETYLTRANSFER-RXN // RXNI-2 // 3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	ketolysis	ketolysis // ketone body metabolism // ketone body degradation				PWY66-368					Acetyl-CoA-Biosynthesis		Energy-Metabolism	Energy-Metabolism	PROT-CYS // Protein-S-Acetyl-Cysteines // PROTON // NADH // CPD-335 // NAD // SUC // SUC-COA // 3-KETOBUTYRATE // CO-A // ACETOACETYL-COA // ACETYL-COA	CO-A // SUC-COA // CPD-335 // NAD	ACETYL-COA-ACETYLTRANSFER-RXN // RXNI-2 // 3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
PWY-8275	PYRUFLAVREDUCT-RXN	pyruvate decarboxylation to acetyl CoA III	pyruvate decarboxylation to acetyl CoA III // acetyl-CoA biosynthesis III				PWY-8275					Acetyl-CoA-Biosynthesis		Energy-Metabolism	Energy-Metabolism	PROTON // Reduced-ferredoxins // CARBON-DIOXIDE // ACETYL-COA // PYRUVATE // CO-A // Oxidized-ferredoxins	PYRUVATE // CO-A // Oxidized-ferredoxins	PYRUFLAVREDUCT-RXN
PWY-5494	RXN-8568 // PROPIONATE-COA-TRANSFERASE-RXN // LACTOYL-COA-DEHYDRATASE-RXN // LACCOA-RXN	pyruvate fermentation to propanoate II (acrylate pathway)	"pyruvate fermentation to propanoate II (acrylate pathway) // propionate fermentation, nonrandomizing pathway // acrylate pathway // propionate fermentation // pyruvate fermentation to propionate II (acrylate pathway) // pyruvic acid fermentation to propanoic acid II (acrylic acid pathway)"				PWY-5494	PWY-8188 // PROPFERM-PWY				Pyruvate-Propanoate-Fermentation		Energy-Metabolism	Energy-Metabolism	D-LACTATE // WATER // D-LACTOYL-COA // ACET // ACETYL-COA // PROPIONATE // PROTON // NADH // ACRYLYL-COA // PROPIONYL-COA // NAD	NADH // PROTON // ACET // D-LACTATE	RXN-8568 // PROPIONATE-COA-TRANSFERASE-RXN // LACTOYL-COA-DEHYDRATASE-RXN // LACCOA-RXN
